Heure;IP source;IP destination;Flag;Seq;Length
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];63448:64896,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];64896:66344,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];66344:67792,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];67792:69240,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];69240:70688,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];70688:72136,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];72136:73584,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];73584:75032,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];75032:76480,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];76480:77928,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];77928:79376,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];79376:80824,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];80824:82272,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];82272:83720,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];83720:85168,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];85168:86616,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];86616:88064,;"360
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];88064:89512,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];89512:90960,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];90960:92408,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];92408:93856,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];93856:95304,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];95304:96752,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];96752:98200,;"1448
"
11:42:30;mauves.univ-st-etienne.fr.https;BP-Linux8.40682:;[.];98200:99648,;"1448
"
